ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,Mouser,DigiKey,Elsewhere
1,Header-Female-2.54_2x20,P1,HDR-TH_40P-P2.54-V-F-R2-C20-S2.54,1,2.54mm 2*20PFemale header,BOOMELE,LCSC,C50982,0.244,,,Amazon - Header Kit
2,2.54mm header2*12,P2,HDR-12X2/2.54,1,1.27mmFemale header2*5,WEINANS,,C59983,0.226,,,Amazon - Header Kit
3,HDR-IDC-2.54-2X8P,P3,IDC-TH_16P-P2.54_C3406,1,IDC Box 2.54mm 16P　Straight,BOOMELE,LCSC,C3406,0.1,538-70246-1602,,
4,Header-Female-2.54_2x2,P4,HDR-2X2/2.54,1,Header-Female-2.54_2x2,LCSC,LCSC,C47553,0.042,,,Amazon - Header Kit
5,MH-MINI-360,U7,DC-DC_MINI-360,1,,,,MH-MINI-360,,,,https://www.amazon.com/dp/B00NJCAI7G
6,100E,"R24,R25,R26,R11,R12,R13",RES-TH_BD2.2-L6.5-P10.50-D0.6,6,,,,,,,,Amazon - Resistor Kit
7,MCP1700,U4,TO-92-3,1,,,,,,579-MCP1700-3002E/TO,,
8,Header-Female-2.54_1x2,P5,HDR-1X2/2.54,1,Header-Female-2.54_1x2,LCSC,LCSC,C49661,0.036,,,Amazon - Header Kit
9,10uF,"C13,C14,C15",CAP-TH_BD6.3-P2.50-D1.0-FD,3,10uf/100V,ValuePro,LCSC,C2029,0.023,80-ESL106M100AE3AA,,
10,264-7SURD/S530-A3,"AMBER,BLUE,GREEN,RED",LED-TH_BD3.8-P2.54-FD,4,264-7SURD/S530-A3,Everlight Elec,LCSC,C179080,0.06,,,Amazon - LED Kit
11,10nF,"C1,C3,C4,C5,C11,C12",CAP-TH_L6.5-W2.5-P5.00-D1.0,6,B32529C0105J289,TDK,LCSC,C125386,0.253,80-MMK5103J63J01L4,,
12,47nF,C2,CAP-TH_L6.5-W2.5-P5.00-D1.0,1,B32529C0105J289,TDK,LCSC,C125386,0.253,80-MMK5473J50J01L4,,
13,470nF,"C6,C7",CAP-TH_L6.5-W2.5-P5.00-D1.0,2,B32529C0105J289,TDK,LCSC,C125386,0.253,80-RSBDC3470AA10J,,
14,100nF,"C8,C9,C10",CAP-TH_L6.5-W2.5-P5.00-D1.0,3,B32529C0105J289,TDK,LCSC,C125386,0.253,80-RSBDC3100AA00J,,
15,1N4148,"D1,D2,D3,D4",DO-35_BD2.0-L4.2-P8.20-D0.5-RD,4,1N4148,LGE,LCSC,C402212,0.007,637-1N4148,,
16,TJ-L5FCMXHMCSLC2R2G-A5,GREEN/RED,LED-TH_3P-BD5.0-P2.54,1,TJ-L5FCMXHMCSLC2R2G-A5,TOGIALED(台湾统佳),LCSC,C2837032,0.08,696-SSL-LX3059SISUGW,,
17,Audio lvl 1/2,H1,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
18,Audio lvl 2/2,H2,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
19,X lvl 2/2,H7,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
20,X lvl 1/2,H8,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
21,Y lvl 2/2,H9,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
22,Y lvl 1/2,H10,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
23,Z lvl 2/2,H11,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
24,Z lvl 1/2,H12,HDR-TH_3P-P2.54-V,1,Header2.54mm 1*3P,BOOMELE,LCSC,C49257,0.017,,,Amazon - Header Kit
25,470K,R1,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
26,4K7,"R2,R21",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,,,,,,,,Amazon - Resistor Kit
27,10K,"R3,R4",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,,,,,,,,Amazon - Resistor Kit
28,33K,R5,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
29,1K,"R6,R8",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,,,,,,,,Amazon - Resistor Kit
30,15K,R7,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
31,5K6,R9,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
32,1K5,R10,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
33,220E,"R14,R16,R17,R18,R19",RES-TH_BD2.2-L6.5-P10.50-D0.6,5,,,,,,,,Amazon - Resistor Kit
34,470E,R15,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
35,680E,"R20,R23",RES-TH_BD2.2-L6.5-P10.50-D0.6,2,,,,,,,,Amazon - Resistor Kit
36,1K2,R22,RES-TH_BD2.2-L6.5-P10.50-D0.6,1,,,,,,,,Amazon - Resistor Kit
37,1P12W_SWITCH Llaunak,S1,2P6W SWITCH,1,"Rotary Switch, 12 Position, 1 Pole, 30 °",,,1123696,,611-A11203RNCQ,,
